,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,out_of_state_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
487,VT,15,11.0,95584.04181818181,81993.70909090909,13590.332727272726,2.090909090909091,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182
488,VT,17,14.0,101908.0,95714.14285714286,6193.857142857143,2.5,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.35714285714285715,0.5714285714285714
489,VT,19,1.0,73868.6,73466.0,402.6000000000058,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
490,VT,29,18.0,147206.0511111111,113398.08888888889,33807.962222222224,2.3333333333333335,0.0,0.0,0.1111111111111111,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
491,VT,43,1.0,43388.0,39333.0,4055.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
492,WA,11,1113.0,191680.99574123992,182051.45085354897,9629.544887690927,2.51392632524708,0.0035938903863432167,0.05480682839173405,0.2165318957771788,0.029110512129380053,0.11356693620844564,0.0389937106918239,0.0,0.06864330637915544,0.09020664869721474
493,WA,13,775.0,113849.75597419354,100523.28077419354,13326.475199999999,2.5651612903225804,0.007741935483870968,0.03225806451612903,0.13806451612903226,0.03741935483870968,0.0967741935483871,0.02064516129032258,0.0012903225806451613,0.10064516129032258,0.10451612903225807
494,WA,15,17589.0,144692.27312979702,135839.3407584286,8852.932371368468,2.238728750923873,0.024276536471658422,0.09426346011711866,0.19000511683438512,0.029370629370629373,0.13847669945230923,0.01950082437887316,0.00017056114617090227,0.07690033543692079,0.04492201565372297
495,WA,17,555.0,143893.65805405405,124593.8781981982,19299.779855855857,2.9657657657657657,0.023423423423423424,0.34774774774774775,0.4846846846846847,0.05117117117117117,0.16288288288288288,0.013333333333333334,0.0,0.09081081081081081,0.07819819819819819
496,WA,19,122.0,113607.96385245901,92448.05081967212,21159.913032786888,2.2459016393442623,0.0,0.0,0.05737704918032787,0.22950819672131148,0.23770491803278687,0.040983606557377046,0.0,0.09016393442622951,0.03278688524590164
497,WA,21,10.0,72612.068,66302.176,6309.892000000001,3.0,0.0,0.0,0.0,0.2,0.2,0.5,0.0,0.0,0.1
498,WA,23,2.0,195000.0,130603.5,64396.5,1.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0
499,WA,25,30.0,133925.552,76340.6,57584.952000000005,1.3,0.0,0.0,0.0,0.5333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.23333333333333334,0.06666666666666667
500,WA,27,159.0,130647.1572327044,80524.57232704402,50122.58490566038,2.7044025157232703,0.06918238993710692,0.006289308176100629,0.15723270440251572,0.03270440251572327,0.08930817610062892,0.001257861635220126,0.0,0.05157232704402515,0.08930817610062892
501,WA,29,73.0,94279.7212328767,83601.75342465752,10677.967808219177,1.5342465753424657,0.6027397260273972,0.0410958904109589,0.726027397260274,0.1952054794520548,0.05821917808219178,0.04452054794520548,0.0,0.1095890410958904,0.04452054794520548
502,WA,41,19.0,157344.03684210527,126818.68421052632,30525.352631578946,3.3684210526315788,0.05263157894736842,0.05263157894736842,0.6842105263157895,0.0,0.47368421052631576,0.10526315789473684,0.0,0.15789473684210525,0.2631578947368421
503,WI,11,31.0,182837.63451612904,157312.4516129032,25525.182903225807,3.3225806451612905,0.03225806451612903,0.03225806451612903,0.1935483870967742,0.06451612903225806,0.41935483870967744,0.06451612903225806,0.0,0.0967741935483871,0.12903225806451613
504,WI,13,25.0,111423.28640000001,94481.81599999999,16941.4704,2.84,0.52,0.32,0.68,0.12,0.12,0.0,0.04,0.36,0.2
