,Unnamed: 0,CASE_STATUS,JOB_TITLE,SOC_TITLE,PREVAILING_WAGE,PW_UNIT_OF_PAY,BEGIN_DATE,END_DATE,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,PW_WAGE_LEVEL,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_WORKERS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
87044,87044,Certified,Senior Software Developer,Software Developers,"$81,307.00 ",Year,10/16/2024,10/15/2027,1,0,0,0,0,"RANDSTAD DIGITAL, LLC",II,Woburn,MA,1,Charleston,KANAWHA,WV,25314
87093,87093,Certified,Chief Executive Officer,General and Operations Managers,"$6,784.25 ",Month,11/1/2024,11/1/2027,2,0,0,0,0,"IWS Energy Services, LLC",II,Casper,WY,2,Casper,NATRONA,WY,82601
87312,87312,Certified,Business Intellegence Analyst,Business Intelligence Analysts,"$86,486.00 ",Year,11/1/2024,9/30/2027,0,0,0,0,1,BVM Technology Associates Inc,III,Frisco,TX,1,Rio Rancho,SANDOVAL,NM,87124
87509,87509,Certified,Critical Care Physician,"Physicians, All Other","$201,406.00 ",Year,10/28/2024,10/27/2027,1,0,0,0,0,"Charleston Area Medical Center, Inc.",II,Charleston,WV,1,Charleston,KANAWHA,WV,25301
87685,87685,Certified - Withdrawn,Medical Technologist,Medical and Clinical Laboratory Technologists,$24.44 ,Hour,10/1/2024,9/30/2027,1,0,0,0,0,Conexus MedStaff LLC,II,Houston,TX,1,Huntington,CABELL,WV,25701
87714,87714,Certified - Withdrawn,Postdoctoral Research Associate,Materials Scientists,"$68,411.00 ",Year,6/3/2024,2/2/2025,1,0,0,0,0,"TRIAD NATIONAL SECURITY, LLC",I,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
87807,87807,Withdrawn,SECONDARY SCHOOL TEACHER,"Secondary School Teachers, Except Special and Career/Technical Education","$63,803.00 ",Year,11/15/2024,11/14/2027,1,0,0,0,0,NORTH SLOPE BOROUGH SCHOOL DISTRICT,,Utqiagvik,AK,1,ANAKTUVUK PASS,NORTH SLOPE,AK,99721
87943,87943,Certified,Architect,Computer Systems Engineers/Architects,"$82,597.00 ",Year,10/8/2024,10/6/2027,0,0,1,0,0,Tata Consultancy Services Limited,II,Rockville,MD,1,Sioux Falls,LINCOLN,SD,57108
87971,87971,Certified,Post Doctoral Fellow,"Environmental Scientists and Specialists, Including Health",$24.87 ,Hour,11/15/2024,12/14/2025,1,0,0,0,0,University of Alaska ,,Fairbanks,AK,1,Fairbanks,FAIRBANKS NORTH STAR,AK,99775
88604,88604,Certified,Plant Manager,Industrial Production Managers,"$143,582.00 ",Year,11/4/2024,11/3/2027,0,0,0,0,0,"Saint-Gobain Ceramics & Plastics, Inc.",IV,Worcester,MA,1,Buckhannon,UPSHUR,WV,26201
88822,88822,Certified,SOFTWARE DEVELOPER,Software Developers,"$73,070.00 ",Year,10/8/2024,9/30/2027,1,0,0,0,0,Cloud Takers INC,II,Irving,TX,1,Vermillion,CLAY,SD,57069
88847,88847,Certified,Research Assistant Professor,"Geoscientists, Except Hydrologists and Geographers",$38.73 ,Hour,10/20/2024,10/19/2027,0,0,0,0,0,University of Alaska ,,Fairbanks,AK,1,Fairbanks,FAIRBANKS NORTH STAR,AK,99775
88999,88999,Certified,Engineering Manager,Architectural and Engineering Managers,"$175,906.00 ",Year,4/1/2025,3/31/2028,0,0,1,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
89322,89322,Certified,"Senior Manager, Software Engineering",Software Developers,"$58,718.00 ",Year,11/1/2024,10/31/2027,0,0,0,0,1,"Form Energy, Inc.",I,Somerville,MA,1,Weirton,HANCOCK,WV,26062
89444,89444,Certified - Withdrawn,Public School Teacher,"Special Education Teachers, Elementary School","$52,890.00 ",Year,9/25/2024,9/24/2027,1,0,0,0,0,Hobbs Municipal Schools,I,Hobbs,NM,1,Hobbs,LEA,NM,88241
89446,89446,Certified - Withdrawn,Chief Executive Officer,General and Operations Managers,"$6,784.25 ",Month,11/1/2024,11/1/2027,2,0,0,0,0,"IWS Energy Services, LLC",II,Casper,WY,2,Casper,NATRONA,WY,82601
89453,89453,Certified - Withdrawn,Secondary Mathematics Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",$33.81 ,Hour,9/23/2024,9/22/2027,1,0,0,0,0,Dillingham City School District,II,Dillingham,AK,1,Dillingham,DILLINGHAM,AK,99576
89531,89531,Certified - Withdrawn,Scientist 2,Mechanical Engineers,"$117,478.00 ",Year,10/17/2022,10/16/2025,1,0,0,0,0,"Triad National Security, LLC",II,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
89562,89562,Certified - Withdrawn,SOFTWARE ENGINEER,"Software Developers, Applications","$59,530.00 ",Year,2/3/2022,2/2/2025,0,0,0,0,0,"NEXZENTEK SOLUTIONS, INC.",II,East Brunswick,NJ,1,PIERRE,HUGHES,SD,57501
89569,89569,Certified - Withdrawn,SOFTWARE ENGINEER,"Software Developers, Applications","$68,931.00 ",Year,10/1/2021,9/30/2024,1,0,0,0,0,"NEXZENTEK SOLUTIONS, INC.",III,East Brunswick,NJ,1,PIERRE,HUGHES,SD,57501
89619,89619,Withdrawn,Postdoctoral Research Associate,Physicists,"$90,504.00 ",Year,11/7/2024,12/31/2025,0,1,0,0,0,"Triad National Security, LLC",,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
89726,89726,Certified,Special Education Teacher,"Special Education Teachers, Secondary School","$47,163.00 ",Year,10/21/2024,10/20/2027,1,0,0,0,0,Crow Creek Tribal School,II,Stephan,SD,1,Stephan,HYDE,SD,57339
90619,90619,Certified,Post Doctoral Fellow,"Environmental Scientists and Specialists, Including Health",$24.87 ,Hour,11/1/2024,1/16/2025,0,1,0,0,0,University of Alaska ,,Fairbanks,AK,1,Juneau,JUNEAU,AK,99801
90981,90981,Certified,Elementary School Teacher,"Elementary School Teachers, Except Special Education","$46,707.00 ",Year,10/21/2024,10/20/2027,1,0,0,0,0,Crow Creek Tribal School,II,Stephan,SD,1,Stephan,HYDE,SD,57339
91082,91082,Certified,Post Doctoral,Data Scientists,"$55,994.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88003
91093,91093,Certified,Elementary School Teacher,"Elementary School Teachers, Except Special Education","$46,707.00 ",Year,10/21/2024,10/20/2027,1,0,0,0,0,Crow Creek Tribal School,II,Stephan,SD,1,Stephan,HYDE,SD,57339
91188,91188,Certified - Withdrawn,Information Security Analyst ,Information Security Analysts,"$102,565.00 ",Year,11/1/2023,10/31/2026,1,0,0,0,0,"Capital Card Services, Inc",III,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57110
91745,91745,Certified,Middle School Science,"Middle School Teachers, Except Special and Career/Technical Education","$43,855.00 ",Year,10/7/2024,6/3/2025,1,0,0,0,0,Marion County Board of Education,,Fairmont,WV,1,Rivesville,MARION,WV,26588
91769,91769,Certified,Secondary Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$48,443.00 ",Year,10/16/2024,10/15/2027,1,0,0,0,0,Tiospa Zina Tribal School,II,Agency Village,SD,1,Agency Village,ROBERTS,SD,57262
91804,91804,Certified,Special Education Teacher,"Special Education Teachers, All Other","$46,920.00 ",Year,10/16/2024,10/15/2027,1,0,0,0,0,Tiospa Zina Tribal School,I,Agency Village,SD,1,Agency Village,ROBERTS,SD,57262
92274,92274,Certified,Secondary Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$48,443.00 ",Year,10/16/2024,10/15/2027,1,0,0,0,0,Tiospa Zina Tribal School,II,Agency Village,SD,1,Agency Village,ROBERTS,SD,57262
92410,92410,Certified,High School Language Arts Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$52,500.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,Espanola Public Schools ,,Espanola ,NM,1,Espanola,RIO ARRIBA,NM,87532
92737,92737,Certified,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,"$102,918.00 ",Year,10/12/2024,10/11/2027,1,0,0,0,0,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,III,College Station,TX,1,ALBUQUERQUE,BERNALILLO,NM,87107
93162,93162,Certified - Withdrawn,SAP Consultant,Computer Systems Engineers/Architects,"$81,162.00 ",Year,10/3/2024,9/30/2027,1,0,0,0,0,Bhrigus Inc.,II,Farmington Hills,MI,1,Lake Norden,HAMLIN,SD,57248
93371,93371,Certified,Onsite Application Support Manager,Information Technology Project Managers,"$134,077.00 ",Year,3/18/2025,3/17/2028,0,1,0,0,0,SLK AMERICA INC,III,Cincinnati,OH,1,Charles Town,JEFFERSON,WV,25414
93507,93507,Certified,Onsite Application Support Manager,Information Technology Project Managers,"$134,077.00 ",Year,3/18/2025,3/17/2028,0,1,0,0,0,SLK AMERICA INC,III,Cincinnati,OH,1,Charles Town,JEFFERSON,WV,25414
93862,93862,Certified,Mechanical Engineering,Mechanical Engineers,"$104,562.00 ",Year,10/10/2024,10/9/2027,0,0,0,0,1,Microsoft Corporation,III,Redmond,WA,1,Cheyenne,LARAMIE,WY,82007
