USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
WY|5670570|1600000US5670570|02413281|Shoshoni town|43|A|11288819|0|4.359|0.|43.239532|-108.109876
WY|5671150|1600000US5671150|02413291|Sinclair town|43|A|6297291|0|2.431|0.|41.776084|-107.11994
WY|5671295|1600000US5671295|02408746|Slater CDP|57|S|191635172|0|73.991|0.|41.877633|-104.788709
WY|5671350|1600000US5671350|02408747|Sleepy Hollow CDP|57|S|1076799|0|0.416|0.|44.232692|-105.430895
WY|5671440|1600000US5671440|02408750|Smoot CDP|57|S|6043738|0|2.334|0.|42.618389|-110.91549
WY|5671800|1600000US5671800|02408765|South Greeley CDP|57|S|4312762|0|1.665|0.|41.093147|-104.806619
WY|5671947|1600000US5671947|02408769|South Park CDP|57|S|29638382|779027|11.443|0.301|43.4255|-110.798549
WY|5673180|1600000US5673180|02413329|Star Valley Ranch town|43|A|6995516|8373|2.701|0.003|42.979688|-110.963521
WY|5673615|1600000US5673615|02410006|Story CDP|57|S|18465852|0|7.13|0.|44.573079|-106.914173
WY|5674195|1600000US5674195|02413351|Sundance town|43|A|7902703|22625|3.051|0.009|44.404823|-104.366209
WY|5674775|1600000US5674775|02413355|Superior town|43|A|2895918|0|1.118|0.|41.759508|-108.964235
WY|5675355|1600000US5675355|02410045|Table Rock CDP|57|S|9035357|0|3.489|0.|41.622044|-108.404044
WY|5675572|1600000US5675572|02410060|Taylor CDP|57|S|7698870|0|2.973|0.|42.069202|-110.986308
WY|5675790|1600000US5675790|02413373|Ten Sleep town|43|A|487692|0|0.188|0.|44.035079|-107.448193
WY|5675935|1600000US5675935|02410072|Teton Village CDP|57|S|14871153|0|5.742|0.|43.590679|-110.841978
WY|5676370|1600000US5676370|02413383|Thayne town|43|A|4425908|0|1.709|0.|42.919886|-110.995255
WY|5676515|1600000US5676515|02413384|Thermopolis town|43|A|6183764|205906|2.388|0.08|43.647615|-108.214538
WY|5677530|1600000US5677530|02412088|Torrington city|25|A|10650869|76349|4.112|0.029|42.063075|-104.172984
WY|5678400|1600000US5678400|02409365|Turnerville CDP|57|S|12647707|0|4.883|0.|42.862419|-110.900728
WY|5679125|1600000US5679125|02413414|Upton town|43|A|6697196|0|2.586|0.|44.104017|-104.636538
WY|5679270|1600000US5679270|02585085|Urie CDP|57|S|4616794|0|1.783|0.|41.308856|-110.335196
WY|5679705|1600000US5679705|02413423|Van Tassell town|43|A|4732790|0|1.827|0.|42.664277|-104.091328
WY|5680285|1600000US5680285|02409510|Veteran CDP|57|S|3459380|0|1.336|0.|41.962665|-104.38625
WY|5680575|1600000US5680575|02409519|Vista West CDP|57|S|12076275|0|4.663|0.|42.86236|-106.436712
WY|5681300|1600000US5681300|02413445|Wamsutter town|43|A|4214138|0|1.627|0.|41.667977|-107.979142
WY|5681640|1600000US5681640|02409532|Warren AFB CDP|57|S|12128333|126908|4.683|0.049|41.147053|-104.86163
WY|5681703|1600000US5681703|02409534|Washam CDP|57|S|8060939|0|3.112|0.|41.005604|-109.699135
WY|5682967|1600000US5682967|02409576|Westview Circle CDP|57|S|5957495|95771|2.3|0.037|42.061641|-105.06758
WY|5683040|1600000US5683040|02413476|Wheatland town|43|A|10646300|0|4.111|0.|42.051706|-104.959472
WY|5683100|1600000US5683100|02585086|Whiting CDP|57|S|3001103|0|1.159|0.|42.00888|-104.971051
WY|5683765|1600000US5683765|02409603|Wilson CDP|57|S|59631983|1076910|23.024|0.416|43.475235|-110.914544
WY|5684852|1600000US5684852|02409627|Woods Landing-Jelm CDP|57|S|43264734|0|16.705|0.|41.101461|-106.028802
WY|5684925|1600000US5684925|02412308|Worland city|25|A|11882744|138720|4.588|0.054|44.020402|-107.961653
WY|5685015|1600000US5685015|02413513|Wright town|43|A|7872147|0|3.039|0.|43.749153|-105.494834
WY|5686665|1600000US5686665|02413522|Yoder town|43|A|550880|0|0.213|0.|41.916978|-104.295389
WY|5686737|1600000US5686737|02409636|Y-O Ranch CDP|57|S|6220116|0|2.402|0.|42.035162|-104.922969
