USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
SD|4651260|1600000US4651260|01267536|Pollock town|43|A|832510|0|0.321|0.|45.900515|-100.288525
SD|4651340|1600000US4651340|02393194|Porcupine CDP|57|S|24830957|0|9.587|0.|43.268525|-102.335259
SD|4651660|1600000US4651660|02584566|Prairie City CDP|57|S|3672488|138272|1.418|0.053|45.536054|-102.817088
SD|4651724|1600000US4651724|02807097|Prairiewood Village CDP|57|S|1527332|0|0.59|0.|45.509376|-98.419403
SD|4651820|1600000US4651820|01267537|Presho city|25|A|1738285|0|0.671|0.|43.907158|-100.05837
SD|4651940|1600000US4651940|01267538|Pringle town|43|A|628047|0|0.242|0.|43.608993|-103.594582
SD|4652140|1600000US4652140|02807106|Provo CDP|57|S|433513|0|0.167|0.|43.193696|-103.832914
SD|4652220|1600000US4652220|01267539|Pukwana town|43|A|1985615|0|0.767|0.|43.779139|-99.184293
SD|4652500|1600000US4652500|01267541|Quinn town|43|A|3107314|0|1.2|0.|43.98658|-102.126346
SD|4652860|1600000US4652860|01267542|Ramona town|43|A|710486|0|0.274|0.|44.119872|-97.215415
SD|4652980|1600000US4652980|01267543|Rapid City city|25|A|145005917|159937|55.987|0.062|44.071071|-103.217924
SD|4653007|1600000US4653007|02393201|Rapid Valley CDP|57|S|16599860|0|6.409|0.|44.067338|-103.122261
SD|4653220|1600000US4653220|01267545|Ravinia town|43|A|645251|0|0.249|0.|43.136494|-98.426861
SD|4653260|1600000US4653260|01267546|Raymond town|43|A|678109|0|0.262|0.|44.910547|-97.937258
SD|4653460|1600000US4653460|01267547|Redfield city|25|A|4994358|87717|1.928|0.034|44.873315|-98.519214
SD|4653940|1600000US4653940|01267548|Ree Heights town|43|A|767298|0|0.296|0.|44.515823|-99.200525
SD|4654020|1600000US4654020|01267549|Reliance town|43|A|2811656|144136|1.086|0.056|43.880401|-99.601172
SD|4654145|1600000US4654145|02584567|Renner Corner CDP|57|S|3332308|5350|1.287|0.002|43.648746|-96.702072
SD|4654220|1600000US4654220|01267550|Revillo town|43|A|433038|0|0.167|0.|45.015315|-96.571104
SD|4654750|1600000US4654750|02628849|Richland CDP|57|S|14624159|0|5.646|0.|42.763417|-96.64785
SD|4655220|1600000US4655220|02812996|Riverside Colony CDP|57|S|1992839|29561|0.769|0.011|44.478097|-98.137241
SD|4655540|1600000US4655540|01267553|Rockham town|43|A|1289200|0|0.498|0.|44.90428|-98.823412
SD|4655620|1600000US4655620|02813030|Rockport Colony CDP|57|S|563809|0|0.218|0.|43.581986|-97.843052
SD|4655684|1600000US4655684|02812999|Rolland Colony CDP|57|S|631180|0|0.244|0.|44.3437|-96.59226
SD|4655820|1600000US4655820|01267554|Roscoe city|25|A|992378|0|0.383|0.|45.450093|-99.336714
SD|4655940|1600000US4655940|02393213|Rosebud CDP|57|S|33577498|129447|12.964|0.05|43.238697|-100.815038
SD|4656140|1600000US4656140|02807108|Rosedale Colony CDP|57|S|580793|0|0.224|0.|43.626716|-97.875335
SD|4656340|1600000US4656340|01267555|Rosholt town|43|A|765748|0|0.296|0.|45.866192|-96.731776
SD|4656380|1600000US4656380|01267556|Roslyn town|43|A|564889|0|0.218|0.|45.496614|-97.492699
SD|4656420|1600000US4656420|02761337|Roswell CDP|57|S|1054913|0|0.407|0.|44.005973|-97.697451
SD|4656580|1600000US4656580|02813054|Rowena CDP|57|S|789555|0|0.305|0.|43.519088|-96.556151
SD|4656820|1600000US4656820|02612514|Running Water CDP|57|S|5415102|0|2.091|0.|42.782167|-97.981669
SD|4656964|1600000US4656964|02813040|Rustic Acres Colony CDP|57|S|2592917|0|1.001|0.|43.869779|-97.098962
SD|4657060|1600000US4657060|02393220|St. Charles CDP|57|S|510183|0|0.197|0.|43.088126|-99.094883
SD|4657140|1600000US4657140|01267558|St. Francis town|43|A|937849|0|0.362|0.|43.142605|-100.902786
SD|4657180|1600000US4657180|01267559|St. Lawrence town|43|A|887977|0|0.343|0.|44.516607|-98.937878
SD|4657260|1600000US4657260|02628850|St. Onge CDP|57|S|3482536|0|1.345|0.|44.545747|-103.719856
SD|4657340|1600000US4657340|01267560|Salem city|25|A|3238426|0|1.25|0.|43.722825|-97.389306
SD|4657940|1600000US4657940|01267561|Scotland city|25|A|2319146|0|0.895|0.|43.148189|-97.719838
SD|4658140|1600000US4658140|01267562|Selby city|25|A|1844160|0|0.712|0.|45.50573|-100.032904
SD|4658180|1600000US4658180|01267563|Seneca town|43|A|1084557|0|0.419|0.|45.060804|-99.509165
SD|4658310|1600000US4658310|02812994|Shamrock Colony CDP|57|S|1678793|29778|0.648|0.011|44.620961|-97.965059
SD|4658332|1600000US4658332|02813052|Shannon Colony CDP|57|S|653524|0|0.252|0.|43.982612|-97.425074
SD|4658580|1600000US4658580|01267564|Sherman town|43|A|664954|3108|0.257|0.001|43.757545|-96.475742
SD|4658590|1600000US4658590|02584568|Shindler CDP|57|S|3889669|0|1.502|0.|43.467706|-96.635522
SD|4658680|1600000US4658680|02813064|Sicangu Village CDP|57|S|615169|0|0.238|0.|43.013755|-100.575718
SD|4658868|1600000US4658868|02813010|Silver Lake Colony CDP|57|S|614682|39884|0.237|0.015|44.865552|-97.608671
SD|4658900|1600000US4658900|01267565|Sinai town|43|A|952413|0|0.368|0.|44.244494|-97.044031
SD|4659020|1600000US4659020|01267566|Sioux Falls city|25|A|218972460|1387535|84.546|0.536|43.540696|-96.731962
SD|4659260|1600000US4659260|01267567|Sisseton city|25|A|4121201|0|1.591|0.|45.662499|-97.045293
SD|4659620|1600000US4659620|02807107|Smithwick CDP|57|S|5006150|0|1.933|0.|43.297581|-103.216297
SD|4659700|1600000US4659700|02584569|Soldier Creek CDP|57|S|31687318|8826|12.235|0.003|43.332643|-100.896809
SD|4659940|1600000US4659940|01267579|South Shore town|43|A|3617507|0|1.397|0.|45.10151|-96.930111
