,WORKSITE_STATE,13,15,17,19,25,11,21,29,27,41,43,23,31,35,39,49,53,12,47
9,FL,0.06482670089858793,0.6922336328626444,0.036585365853658534,0.02374839537869063,0.02374839537869063,0.08119383825417202,0.0025673940949935813,0.06611039794608473,0.0035301668806161745,0.003209242618741977,0.0,0.0012836970474967907,0.0,0.0006418485237483953,0.00032092426187419767,0.0,0.0,0.0,0.0
10,GA,0.049156725627313866,0.8227067050596463,0.029823118058412177,0.016454134101192924,0.02221308103661045,0.03825586178527355,0.0010283833813245578,0.013574660633484163,0.0016454134101192926,0.003290826820238585,0.00020567667626491157,0.0012340600575894694,0.0,0.0,0.00020567667626491157,0.0,0.0,0.00020567667626491157,0.0
11,GU,0.21022727272727273,0.011363636363636364,0.6647727272727273,0.028409090909090908,0.011363636363636364,0.05113636363636364,0.0,0.017045454545454544,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,HI,0.11538461538461539,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.038461538461538464,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,IA,0.006329113924050633,0.39029535864978904,0.052742616033755275,0.07805907172995781,0.046413502109704644,0.029535864978902954,0.0,0.3860759493670886,0.006329113924050633,0.002109704641350211,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,ID,0.05925925925925926,0.34074074074074073,0.31851851851851853,0.044444444444444446,0.07407407407407407,0.08888888888888889,0.0,0.05185185185185185,0.007407407407407408,0.014814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,IL,0.05759480835530319,0.5885215980531332,0.048874467653619955,0.029405800040559725,0.009531535185560738,0.048874467653619955,0.002839180693571284,0.20097343338065302,0.003447576556479416,0.007097951733928209,0.00020279862096937742,0.0026363820726019063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,IN,0.045317220543806644,0.3806646525679758,0.17119838872104734,0.05337361530715005,0.038267875125881166,0.05236656596173213,0.0010070493454179255,0.2497482376636455,0.005035246727089627,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,KS,0.031073446327683617,0.6751412429378532,0.11581920903954802,0.04519774011299435,0.025423728813559324,0.03389830508474576,0.0,0.06779661016949153,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,KY,0.023255813953488372,0.6131078224101479,0.08456659619450317,0.052854122621564484,0.0507399577167019,0.05708245243128964,0.0,0.11205073995771671,0.006342494714587738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,LA,0.007407407407407408,0.5703703703703704,0.022222222222222223,0.07037037037037037,0.1814814814814815,0.025925925925925925,0.0,0.12222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,MA,0.06268731268731269,0.5826673326673326,0.07642357642357642,0.12187812187812187,0.016733266733266732,0.06068931068931069,0.024725274725274724,0.03896103896103896,0.008991008991008992,0.004745254745254745,0.0,0.0012487512487512488,0.0,0.0,0.00024975024975024975,0.0,0.0,0.0,0.0
21,MD,0.05185185185185185,0.5472222222222223,0.07777777777777778,0.1712962962962963,0.025,0.041666666666666664,0.003703703703703704,0.06481481481481481,0.010185185185185186,0.002777777777777778,0.000925925925925926,0.001851851851851852,0.000925925925925926,0.0,0.0,0.0,0.0,0.0,0.0
22,ME,0.03125,0.453125,0.09375,0.03125,0.0,0.09375,0.015625,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
