,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,out_of_state_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
29,NC,13,5.0,137717.0,137717.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
30,NC,15,102.0,95995.30392156863,95747.00980392157,248.2941176470588,2.3529411764705883,1.0,1.0,1.0,0.024509803921568627,0.014705882352941175,0.03431372549019608,0.004901960784313725,0.004901960784313725,0.12254901960784313
31,NE,13,5.0,111779.0,111779.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
32,NE,15,10.0,87797.0,87797.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
33,NH,15,17.0,87769.90588235293,87769.90588235293,0.0,2.0,1.0,1.0,1.0,0.0196078431372549,0.0196078431372549,0.07843137254901962,0.0196078431372549,0.0196078431372549,0.0196078431372549
34,NJ,13,8.0,111704.0,111704.0,0.0,3.25,1.0,1.0,0.625,0.0,0.041666666666666664,0.0,0.0,0.0,0.20833333333333331
35,NJ,15,84.0,100315.97857142857,100204.65714285713,111.32142857142857,2.2023809523809526,1.0,1.0,0.34523809523809523,0.02976190476190476,0.06547619047619048,0.005952380952380952,0.005952380952380952,0.05357142857142857,0.125
36,NV,15,8.0,107226.125,94985.625,12240.5,2.625,1.0,1.0,1.0,0.0,0.08333333333333333,0.0,0.0,0.125,0.16666666666666666
37,NY,13,10.0,159682.0,159682.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
38,NY,15,16.0,111843.0625,111843.0625,0.0,2.5,1.0,1.0,1.0,0.0,0.041666666666666664,0.0625,0.0,0.0,0.14583333333333331
39,OH,13,10.0,99663.0,99663.0,0.0,3.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
40,OH,15,50.0,98572.36,97974.28,598.08,2.62,1.0,1.0,1.0,0.003333333333333333,0.056666666666666664,0.07333333333333333,0.003333333333333333,0.003333333333333333,0.12
41,OK,15,3.0,86400.0,79934.0,6466.0,2.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222
42,OR,13,5.0,119517.0,119517.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
43,OR,15,30.0,87423.90666666668,87423.90666666668,0.0,2.1666666666666665,1.0,1.0,1.0,0.01111111111111111,0.02222222222222222,0.044444444444444446,0.01111111111111111,0.01111111111111111,0.1
44,PA,13,8.0,86181.25,77165.5,9015.75,2.0,1.0,1.0,1.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.20833333333333331
45,PA,15,122.0,96075.65081967214,95731.51147540983,344.1393442622951,2.3278688524590163,1.0,1.0,0.36065573770491804,0.02103825136612022,0.045081967213114756,0.03087431693989071,0.017759562841530054,0.017759562841530054,0.06420765027322405
46,RI,15,31.0,110332.32258064517,110332.32258064517,0.0,2.3870967741935485,1.0,1.0,1.0,0.05376344086021505,0.02150537634408602,0.053763440860215055,0.02150537634408602,0.02150537634408602,0.02150537634408602
47,SC,15,11.0,108368.09090909091,108368.09090909091,0.0,2.909090909090909,1.0,1.0,1.0,0.0,0.0606060606060606,0.0,0.0,0.0,0.2121212121212121
48,TN,15,36.0,81577.75,77933.66666666667,3644.0833333333335,2.2777777777777777,1.0,1.0,1.0,0.0,0.06481481481481481,0.0,0.0,0.0,0.21296296296296297
49,TX,13,23.0,128332.52173913043,128332.52173913043,0.0,3.869565217391304,1.0,1.0,0.13043478260869565,0.0,0.014492753623188404,0.043478260869565216,0.0,0.0,0.15942028985507245
50,TX,15,466.0,102539.70729613735,102125.94978540773,413.7575107296137,2.1759656652360513,1.0,1.0,0.8819742489270386,0.018955650929899856,0.03969957081545064,0.029685264663805434,0.018955650929899856,0.023247496423462088,0.07546494992846924
51,UT,13,5.0,100589.0,100589.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
52,UT,15,32.0,109333.875,109333.875,0.0,2.96875,1.0,1.0,1.0,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.13541666666666669
53,VA,15,17.0,103261.5294117647,103103.5294117647,158.0,1.8823529411764706,1.0,1.0,1.0,0.0784313725490196,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.058823529411764705
54,WA,15,14.0,128529.35714285714,128529.35714285714,0.0,2.0,1.0,1.0,1.0,0.07142857142857142,0.09523809523809523,0.0,0.0,0.0,0.19047619047619047
55,WI,13,5.0,140691.0,140691.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2
56,WI,15,22.0,86759.68181818182,86759.68181818182,0.0,3.0,1.0,1.0,1.0,0.0,0.022727272727272728,0.06818181818181818,0.0,0.0,0.13636363636363635
